"","Airline_ID","Airline_ID..2","Source_Airport","Source_Airport_ID","Des_Airport","Des_Airport_ID","Codeshare","Stops","Equipment","name_source","city_source","Country","IATA","ICAO","name_des","city_des"
"1","3021","3021","KIX","3992","MNL","2397","",0,"320","Kansai International Airport","Osaka","Japan","KIX","RJBB","Ninoy Aquino International Airport","Manila"
"2","3021","3021","KIX","3992","TPE","2276","",0,"320","Kansai International Airport","Osaka","Japan","KIX","RJBB","Taiwan Taoyuan International Airport","Taipei"
"3","1683","1683","KIX","3992","MNL","2397","",0,"320","Kansai International Airport","Osaka","Japan","KIX","RJBB","Ninoy Aquino International Airport","Manila"
"4","1683","1683","NGO","3942","MNL","2397","",0,"320","Chubu Centrair International Airport","Nagoya","Japan","NGO","RJGG","Ninoy Aquino International Airport","Manila"
"5","1683","1683","NRT","2279","MNL","2397","",0,"320","Narita International Airport","Tokyo","Japan","NRT","RJAA","Ninoy Aquino International Airport","Manila"
"6","2994","2994","FUK","2305","ICN","3930","",0,"737","Fukuoka Airport","Fukuoka","Japan","FUK","RJFF","Incheon International Airport","Seoul"
"7","2994","2994","KIX","3992","GMP","2378","",0,"737","Kansai International Airport","Osaka","Japan","KIX","RJBB","Gimpo International Airport","Seoul"
"8","2994","2994","KIX","3992","ICN","3930","",0,"737","Kansai International Airport","Osaka","Japan","KIX","RJBB","Incheon International Airport","Seoul"
"9","2994","2994","NGO","3942","GMP","2378","",0,"737","Chubu Centrair International Airport","Nagoya","Japan","NGO","RJGG","Gimpo International Airport","Seoul"
"10","2994","2994","NGO","3942","ICN","3930","",0,"737","Chubu Centrair International Airport","Nagoya","Japan","NGO","RJGG","Incheon International Airport","Seoul"
"11","2994","2994","NRT","2279","ICN","3930","",0,"737","Narita International Airport","Tokyo","Japan","NRT","RJAA","Incheon International Airport","Seoul"
"12","4388","4388","FUK","2305","HND","2359","",0,"320","Fukuoka Airport","Fukuoka","Japan","FUK","RJFF","Tokyo Haneda International Airport","Tokyo"
"13","4388","4388","HND","2359","FUK","2305","",0,"320","Tokyo Haneda International Airport","Tokyo","Japan","HND","RJTT","Fukuoka Airport","Fukuoka"
"14","4388","4388","HND","2359","KIX","3992","",0,"320","Tokyo Haneda International Airport","Tokyo","Japan","HND","RJTT","Kansai International Airport","Osaka"
"15","4388","4388","HND","2359","KKJ","2311","",0,"320","Tokyo Haneda International Airport","Tokyo","Japan","HND","RJTT","Kitakyushu Airport","Kitakyushu"
"16","4388","4388","KIX","3992","HND","2359","",0,"320","Kansai International Airport","Osaka","Japan","KIX","RJBB","Tokyo Haneda International Airport","Tokyo"
"17","4388","4388","KKJ","2311","HND","2359","",0,"320","Kitakyushu Airport","Kitakyushu","Japan","KKJ","RJFR","Tokyo Haneda International Airport","Tokyo"
"18","15999","15999","HSG","5996","PVG","3406","",0,"320","Saga Airport","Saga","Japan","HSG","RJFS","Shanghai Pudong International Airport","Shanghai"
"19","15999","15999","IBR","2281","PVG","3406","",0,"320","Hyakuri Airport","Ibaraki","Japan","IBR","RJAH","Shanghai Pudong International Airport","Shanghai"
"20","15999","15999","KIX","3992","PVG","3406","",0,"320","Kansai International Airport","Osaka","Japan","KIX","RJBB","Shanghai Pudong International Airport","Shanghai"
"21","15999","15999","TAK","2337","PVG","3406","",0,"320","Takamatsu Airport","Takamatsu","Japan","TAK","RJOT","Shanghai Pudong International Airport","Shanghai"
"22","3000","3000","NRT","2279","BOM","2997","Y",0,"737","Narita International Airport","Tokyo","Japan","NRT","RJAA","Chhatrapati Shivaji International Airport","Mumbai"
"23","24","24","CTS","2287","NRT","2279","",0,"773","New Chitose Airport","Sapporo","Japan","CTS","RJCC","Narita International Airport","Tokyo"
"24","24","24","FUK","2305","NRT","2279","",0,"737","Fukuoka Airport","Fukuoka","Japan","FUK","RJFF","Narita International Airport","Tokyo"
